0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.09125,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.09125,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.09125,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,7"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,53",1.092,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,7"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.09125,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,7"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.09125,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,7"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,54",1.09207,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,7"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.09125,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,7"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.09125,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,7"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.09093,"1.1,17","1.11,40","1.12,46","1.13,11","1.14,7"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.08942,"1.09,1","1.1,17","1.11,40","1.12,46","1.13,11"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.08151,"1.08,10","1.09,1","1.1,17","1.11,40","1.12,46"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
